"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R9,R15,R26,R39,R27,R3,R30,R10,R47,R21,R25,R50,R22,R52,R40,R23,R46,R19,R13,R38,R37,R35,R12,R31,R1,R8,R5,R29,R41,R28,R34,R2,R44,R16,R42,R48,R7,R51,R17,R43,R4,R18,R20,R14,R49,R33,R24,R6,R36,R32,R45,R11";"R_0402_1005Metric";52;"10k";;;
2;"Q3,Q20,Q19,Q5,Q21,Q10,Q16,Q11,Q2,Q12,Q25,Q26,Q17,Q4,Q9,Q14,Q1,Q22,Q13,Q15,Q18,Q24,Q6,Q7,Q8,Q23";"SOT-23";26;"BSS138";;;
3;"U1";"DIP-28_W15.24mm";1;"27512";;;
4;"U3";"MODULE_DEV-16771";1;"Teensy 4.1 module";;;
5;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"Conn_01x07_Pin";;;
